question,answer
68) What is Context Switching?,"['Context switching is a technique or approach that the operating system use to move a process from one state to another so that it can carry out its intended function using system CPUs.', 'When a system performs a switch, it maintains the status of the previous operating process in the form of registers and allots the CPU to the new process to carry out its operations.', 'The old process must wait in a ready queue while a new one is running in the system. At the point when another process interrupted it, the old process resumes execution.', 'It outlines the features of an operating system that supports numerous workloads at once without the use of extra processors by allowing several processes to share a single CPU.']"
69) What is the use of Dispatcher in Operating Systems?,"['After the scheduler completes the process scheduling, a unique application called a dispatcher enters the picture. The dispatcher is the one who moves a process to the desired state or queue once the scheduler has finished its selection task. The module known as the dispatcher is what grants a process control over the CPU once the short-term schedule has chosen it.']"
70) What is the Difference between Dispatcher and Scheduler?,[]
71) What is Process Synchronization in Operating Systems?,"['Process synchronization, often known as synchronization, is the method an operating system uses to manage processes that share the same memory space. By limiting the number of processes that may modify the shared memory at once via hardware or variables, it helps ensure the consistency of the data.']"
72) What are the Classical Problems of Process Synchronization?,"['The Classical Problems of Process Synchronization are:', ""- Bound Buffer Problem or Consumer Producer Problem\n- Dining Philosopher's Problem\n- Readers and writers Problem\n- Sleeping Barber Problem""]"
73) What is a Peterson's Solution?,"[""Peterson's solution to the critical section issue is a traditional one. The critical section problem makes sure no two processes or jobsalter or modify the value of a resource at the same time.""]"
74) What are the Operations in Semaphores?,"['The Operations in Semaphores are:', '- Wait or P Function ()\n- Signal or V Function ()']"
75) What is a Critical Section Problem?,"['The section of a program known as the Critical Section attempts to access shared resources.', 'The operating system has trouble authorizing and preventing processes from entering the crucial part because more than one process cannot operate in the critical area at once.']"
76) What are the methods of Handling Deadlocks?,"['The methods of handling deadlock are:', '- Deadlock Prevention\n- Deadlock Detection and Recovery\n- Deadlock Avoidance\n- Deadlock Ignorance']"
77) How can we avoid Deadlock?,"[""We can avoid Deadlock by using Banker's Algorithm.""]"
78) How can we detect and recover the Deadlock occurred in Operating System?,"['First, what we need to do is to allow the process to enter the deadlock state. So, it is the time of recovery.', 'We can recover the process from deadlock state by terminating or aborting all deadlocked processes one at a time.', 'Process Pre Emption is also another technique used for Deadlocked Process Recovery.']"
79) What is paging in Operating Systems?,"['Paging is a storage mechanism. Paging is used to retrieve processes from secondary memory to primary memory.', 'The main memory is divided into small blocks called pages. Now, each of the pages contains the process which is retrieved into main memory and it is stored in one frame of memory.', 'It is very important to have pages and frames which are of equal sizes which are very useful for mapping and complete utilization of memory.']"
80) What is Address Translation in Paging?,"['Logical and physical memory addresses, both of which are distinct, are the two types of memory addresses that are employed in the paging process. The logical address is the address that the CPU creates for each page in the secondary memory, but the physical address is the actual location of the frame where each page will be allocated. We now require a technique known as address translation carried out by the page table in order to translate this logical address into a physical address.']"
81) What is Translational Look Aside Buffer?,"['Whenever logical address is created by the Central Processing Unit (CPU), the page number is stored in the Translational Look Aside Buffer. Along, with the page number, the frame number is also stored.']"
82) What are Page Replacement Algorithms in Operating Systems?,"['The Page Replacement Algorithms in Operating Systems are:', '- First In First Out\n- Optimal\n- Least Recently Used\n- Most Recently Used']"
83) In which Page Replacement Algorithm does Belady's Anomaly occur?,"[""In First in First out Page Replacement Algorithm Belady's Anomaly occurs.""]"
84) What are Process Scheduling Algorithms in Operating System?,"['The Process Scheduling Algorithms in Operating Systems are:', '- First Come First Serve CPU Scheduling Algorithm\n- Priority Scheduling CPU Scheduling Algorithm\n- Shortest Job First CPU Scheduling Algorithm\n- Round Robin CPU Scheduling Algorithm\n- Longest Job First CPU Scheduling Algorithm\n- Shortest Remaining Time First CPU Scheduling Algorithm\n- Multiple Queue CPU Scheduling Algorithm']"
85) What is Round Robin CPU Scheduling Algorithm?,['Round Robin is a CPU scheduling mechanism whose cycles around assigning each task a specific time slot. It is the First come First Serve CPU Scheduling method prior Pre Emptive Process Scheduling approach. The Round Robin CPU algorithm frequently emphasizes the Time Sharing method.']
86) What is Disk Scheduling in Operating Systems?,['Operating systems use disk scheduling to plan when Input or Output requests for the disk will arrive. Input or Output scheduling is another name for disk scheduling.']
87) What is the importance of Disk Scheduling in Operating Systems?,"['- One Input or Output request may be fulfilled by the disk controller at a time, even if several Input or Output requests could come in from other processes. Other Input or Output requests must thus be scheduled and made to wait in the waiting queue.\n- The movement of the disk arm might increase if two or more requests are placed far apart from one another.\n- Since hard disks are among the slower components of the computer system, they must be accessible quickly.']"
88) What are the Disk Scheduling Algorithms used in Operating Systems?,"['The Disk Scheduling Algorithms used in Operating Systems are:', '- First Come First Serve\n- Shortest Seek Time First\n- LOOK\n- SCAN\n- C SCAN\n- C LOOK']"
89) What is Monitors in the context of Operating Systems?,"[""A feature of programming languages called monitors and ithelps in controlledaccess to shared data. The Monitor is a collection of shared actions, data structures, and synchronization between parallel procedure calls. A monitor is therefore sometimes referred to as a synchronization tool. Some of the languages that support the usage of monitors are Java, C#, Visual Basic, Ada, and concurrent Euclid. Although other processes cannot access the monitor's internal variables, they can invoke its methods""]"
