 What is the disadvantage of selection sort?,Itrequiresauxiliarymemory,Itisnotscalable,Itcanbeusedforsmallkeys,Noneofthementioned,B,"Astheinputsizeincreases,theperformanceofselectionsortdecreases."
"  The given array is arr = {3,4,5,2,1}",5and4,4and5,2and4,2and5,A,"Sincetheinputarrayisnotsorted,bubblesorttakes5iterationsandselectionsorttakes4(n-1)iterations."
"  The given array is arr = {1,2,3,4,5}",5and4,1and4,0and4,4and1,B,"Selectionsortisinsensitivetoinput,hence4(n-1)iterations.Whereasbubblesortiteratesonlyoncetosettheflagto0astheinputisalreadysorted."
What is the best case complexity of selection sort?,O(nlogn),O(logn),O(n),O(n2),D,"Thebest,averageandworstcasecomplexitiesofselectionsortisO(n2"
 What is an internal sorting algorithm?,Algorithmthatusestapeordiskduringthesort,Algorithmthatusesmainmemoryduringthesort,Algorithmthatinvolvesswapping,Algorithmthatareconsideredâ€˜inplaceâ€™,B,"Asthenamesuggests,internalsortingalgorithmusesinternalmainmemory."
What is the worst case complexity of bubble sort?,O(nlogn),O(logn),O(n),O(n2),D,Bubblesortworksbystartingfromthefirstelementandswappingtheelementsifrequiredineachiteration.
 What is the average case complexity of bubble sort?,O(nlogn),O(logn),O(n),O(n2),D,Bubblesortworksbystartingfromthefirstelementandswappingtheelementsifrequiredineachiterationevenintheaveragecase.
" The given array is arr = {1,2,4,3}",4,2,1,0,A,"Eventhoughthefirsttwoelementsarealreadysorted,bubblesortneeds4iterationstosortthegivenarray."
What is the best case efficiency of bubble sort in the improvised version?,O(nlogn),O(logn),O(n),O(n2),B,"Only2elementsinthegivenarrayarenotsorted,henceonly2iterationsarerequiredtosortthem."
  QuickSort can be categorized into which of the following?,BruteForcetechnique,Divideandconquer,Greedyalgorithm,Dynamicprogramming,B,Firstyoudivide(partition)thearraybasedonthepivotelementandsortaccordingly.
 What is a randomized QuickSort?,Theleftmostelementischosenasthepivot,Therightmostelementischosenasthepivot,Anyelementinthearrayischosenasthepivot,Arandomnumberisgeneratedwhichisusedasthepivot,C,QuickSortisrandomizedbyplacingtheinputdataintherandomizedfashioninthearrayorbychoosingarandomelementinthearrayasapivot.
 A  is a special Tree-based data structure in which the tree is a complete binary tree,Graph,Heap,List,Stack,B,AHeapisaspecialTree-baseddatastructureinwhichthetreeisacompletebinarytree.
 How many type of heap are there?,2,3,4,5,A,Thereare2typesofheap:max-heapandmin-heap.
In which heap the root node must be greatest among the keys present at all of itâ€™s children?,min-heap,max-heap,BothAandB,Noneoftheabove,B,Max-Heap:InaMax-Heapthekeypresentattherootnodemustbegreatestamongthekeyspresentatallofitâ€™schildren
What is the complexity of adding an element to the heap?,O(logn),O(logh),O(h),BothAandC,D,Thetotalpossibleoperationinrelocatingthenewlocationtoanewelementwillbeequaltoheightoftheheap.
 Heap can be used as,Priorityqueue,Stack,Adecreasingorderarray,NormalArray,A,Thepropertyofheapthatthevalueofrootmustbeeithergreaterorlessthanbothofitschildrenmakesitworklikeapriorityqueue.
 An array consists of n elements,O(n*n*logn),O(n*logn),O(n*n),O(n*logn*logn),B,"ThetotaltimetakenwillbeNtimesthecomplexityofaddingasingleelementtotheheap.AndaddingasingleelementtakeslogNtime,soThatisequaltoN*logN."
 Which one of the following array elements represents a binary min heap?,12108251417,81012251417,25171412108,14172510128,B,"Atreeisminheapwhendataateverynodeinthetreeissmallerthanorequaltoitâ€™schildrenâ€™sdata.So,only81012251417generatesrequiredtree."
" Given an array of element 5, 7, 9, 1, 3, 10, 8, 4","1,3,4,5,7,8,9,10","1,4,3,9,8,5,7,10","1,3,4,5,8,7,9,10","1,3,7,4,8,5,9,10",A,"Buildingamin-heaptheresultwillasortedarraysothe1,3,4,5,7,8,9,10iscorrect.Ifwechangetheimplementationstrategy1,4,3,8,9,5,7,10isalsocorrect.(Firstfillingtherightchildratherthanleftchildfirst)."
 What is the amortized cost per operation of a skew heap?,O(N),O(NlogN),O(N2),O(logN),D,TheamortizedcostperoperationofaskewheapisO(logN)sincetheworstcaseanalysisofskewheapisO(N)andsplaytreeisO(MlogN).
 How many alphabets are there in Binary language?,2,3,4,5,A,"narylanguagehasonlytwoalphabets,0and1."
 we write programs in?,Low-LevelLanguage,Middle-LevelLanguage,High-LevelLanguage,Decimal-Format,C,"wewriteprogramsinhigh-levellanguage,whichiseasierforustounderstandandremember."
  is a program that converts high-level language to assembly language,assembler,compiler,interpreter,linker,B,Acompilerisaprogramthatconvertshigh-levellanguagetoassemblylanguage.
 A compiler that runs on platform (A) and is capable of generating executable code for platform (B) is called ?,cross-compiler,complex-compiler,object-compiler,post-compiler,A,Acompilerthatrunsonplatform(A)andiscapableofgeneratingexecutablecodeforplatform(B)iscalledacross-compiler.
 Which of the following is used to link all the parts of the program together for execution?,loader,linker,memory,preprocessor,B,Alinkertoolisusedtolinkallthepartsoftheprogramtogetherforexecution(executablemachinecode).
 Which of the following tool produces input for compilers?,Interpreter,Assembler,Loader,Preprocessor,D,"Apreprocessor,generallyconsideredasapartofcompiler,isatoolthatproducesinputforcompilers.Itdealswithmacro-processing,augmentation,fileinclusion,languageextension,etc."
 Does compiler reads the whole source code at once?,Yes,No,Dependsoncompiler,Don'tknow,A,"Acompilerreadsthewholesourcecodeatonce,createstokens,checkssemantics,generatesintermediatecode,executesthewholeprogramandmayinvolvemanypasses"
" If an error occurs, what interpreter do?",terminateprogram,stopsexecution,readsthewholeprogramevenifitencounterserrors,givewarning,B,"Ifanerroroccurs,aninterpreterstopsexecutionandreportsit."
" If an error occurs, what compiler do?",terminateprogram,stopsexecution,readsthewholeprogramevenifitencounterserrors,givewarning,C,acompilerreadsthewholeprogramevenifitencountersseveralerrors.
 The output of an assembler is called?,datafile,taskfile,objectfile,programfile,C,"Anassemblertranslatesassemblylanguageprogramsintomachinecode.Theoutputofanassembleriscalledanobjectfile,whichcontainsacombinationofmachineinstructionsaswellasthedatarequiredtoplacetheseinstructionsinmemory."
 Pandas is an open-source  Library?,Ruby,Javascript,Java,Python,D,Pandasisanopen-sourcePythonLibraryprovidinghigh-performancedatamanipulationandanalysistoolusingitspowerfuldatastructures.
 Python pandas was developed by?,GuidovanRossum,TravisOliphant,WesMcKinney,BrendanEich,C,Pandasisahigh-leveldatamanipulationtooldevelopedbyWesMcKinney.
 Pandas  key data structure is called?,Keyframe,DataFrame,Statistics,Econometrics,B,PandasisbuiltontheNumpypackageanditskeydatastructureiscalledtheDataFrame.
" What will be output for the following code?
import pandas as pd

s = pd",1,2,3,4,A,Retrieveasingleelementusingindexlabelvalue.
" In pandas, Index values must be?",unique,hashable,BothAandB,Noneoftheabove,C,"Indexvaluesmustbeuniqueandhashable,samelengthasdata.Defaultnp.arrange(n)ifnoindexispassed."
 What will be correct syntax for pandas series?,"pandas_Series(data,index,dtype,copy)","pandas.Series(data,index,dtype)","pandas.Series(data,index,dtype,copy)","pandas_Series(data,index,dtype)",C,"ApandasSeriescanbecreatedusingthefollowingconstructor:pandas.Series(data,index,dtype,copy)"
 Which of the following is correct Features of DataFrame?,Potentiallycolumnsareofdifferenttypes,CanPerformArithmeticoperationsonrowsandcolumns,Labeledaxes(rowsandcolumns),Alloftheabove,D,Alltheabovearefeatureofdataframe.
 What will be syntax for pandas dataframe?,"pandas.DataFrame(data,index,dtype,copy)","pandas.DataFrame(data,index,rows,dtype,copy)","pandas_DataFrame(data,index,columns,dtype,copy)","pandas.DataFrame(data,index,columns,dtype,copy)",D,"ApandasDataFramecanbecreatedusingthefollowingconstructor:pandas.DataFrame(data,index,columns,dtype,copy)"
 A panel is a  container of data,1D,2D,3D,Infinite,C,Apanelisa3Dcontainerofdata.ThetermPaneldataisderivedfromeconometricsandispartiallyresponsibleforthenamepandas:pan(el)-da(ta)-s.
" Axis 1, in panel represent?",minor_axis,major_axis,items,Noneoftheabove,B,"major_axis:axis1,itistheindex(rows)ofeachoftheDataFrames."
 Which of the following is true?,"Ifdataisanndarray,indexmustbethesamelengthasdata.",Seriesisaone-dimensionallabeledarraycapableofholdinganydatatype.,BothAandB,Noneoftheabove,C,BothoptionAandBaretrue.
 Which of the following thing can be data in Pandas?,apythondict,anndarray,ascalarvalue,Alloftheabove,D,Thepassedindexisalistofaxislabels.
 Which of the following takes a dict of dicts or a dict of array-like sequences and returns a DataFrame?,DataFrame.from_items,DataFrame.from_records,DataFrame.from_dict,Alloftheabove,A,DataFrame.from_dictoperatesliketheDataFrameconstructorexceptfortheorientparameterwhichis'columns'bydefault.
 The  project builds on top of pandas and matplotlib to provide easy plotting of data,yhat,Seaborn,Vincent,Pychart,B,Seabornhasgreatsupportforpandasdataobjects.
 Which of the following makes use of pandas and returns data in a series or dataFrame?,pandaSDMX,freedapi,OutPy,Inpy,B,freedapimodulerequiresaFREDAPIkeythatyoucanobtainforfreeontheFREDwebsite.
 Why ndim is used?,Returnsthenumberofelementsintheunderlyingdata.,ReturnstheSeriesasndarray.,"Returnsthenumberofdimensionsoftheunderlyingdata,bydefinition1.",Returnsalistoftheaxislabels,C,"ndim:Returnsthenumberofdimensionsoftheunderlyingdata,bydefinition1"
" What will be output for the following code?
import pandas as pd
import numpy as np

s = pd",0,1,2,3,B,"Returnsthenumberofdimensionsoftheobject.Bydefinition,aSeriesisa1Ddatastructure,soitreturns1."
" What will be output for the following code?
import pandas as pd

import numpy as np

s = pd",0,1,2,3,C,size:Returnsthesize(length)oftheseries.
 Which of the following indexing capabilities is used as a concise means of selecting data from a pandas object?,In,ix,ipy,iy,B,ixandreindexare100%equivalent.
 Which of the following is false?,Theintegerformattracksonlythelocationsandsizesofblocksofdata.,PandasfollowtheNumPyconventionofraisinganerrorwhenyoutrytoconvertsomethingtoabool.,TwokindsofSparseIndexareimplemented,Theintegerformatkeepsanarraysofallofthelocationswherethedataarenotequaltothefillvalue,A,Theblockformattracksonlythelocationsandsizesofblocksofdata.
